bowler,country
JD Unadkat,India
AS Rajpoot,India
JC Archer,England
S Gopal,India
R Tewatia,India
TK Curran,England
SS Cottrell,West Indies
Mohammed Shami,India
Ravi Bishnoi,India
JDS Neesham,New zealand
M Ashwin,India
GJ Maxwell,Australia
