version,1.3.0
info,team,Kings XI Punjab
info,team,Rajasthan Royals
info,gender,male
info,season,2020/21
info,date,2020/09/27
info,competition,Indian Premier League
info,match_number,9
info,venue,Sharjah Cricket Stadium
info,city,
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,SV Samson
info,umpire,RK Illingworth
info,umpire,K Srinivasan
info,reserve_umpire,VA Kulkarni
info,tv_umpire,C Shamshuddin
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_wickets,4
ball,1,8.2,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,6,0,"",""
ball,1,8.3,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,2,0,"",""
ball,1,8.4,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,6,0,"",""
ball,1,8.5,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,1,0,"",""
ball,1,8.6,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,0,0,"",""
ball,1,9.1,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,1,0,"",""
ball,1,9.2,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,1,0,"",""
ball,1,9.3,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,4,0,"",""
ball,1,9.4,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,0,0,"",""
ball,1,9.5,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,1,0,"",""
ball,1,9.6,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,1,0,"",""
ball,1,10.1,Kings XI Punjab,KL Rahul,MA Agarwal,JD Unadkat,1,0,"",""
ball,1,10.2,Kings XI Punjab,MA Agarwal,KL Rahul,JD Unadkat,4,0,"",""
ball,1,10.3,Kings XI Punjab,MA Agarwal,KL Rahul,JD Unadkat,1,0,"",""
ball,1,10.4,Kings XI Punjab,KL Rahul,MA Agarwal,JD Unadkat,0,0,"",""
ball,1,10.5,Kings XI Punjab,KL Rahul,MA Agarwal,JD Unadkat,1,0,"",""
ball,1,10.6,Kings XI Punjab,MA Agarwal,KL Rahul,JD Unadkat,0,1,"",""
ball,1,10.7,Kings XI Punjab,MA Agarwal,KL Rahul,JD Unadkat,2,0,"",""
ball,1,11.1,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,6,0,"",""
ball,1,11.2,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,1,0,"",""
ball,1,11.3,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,1,0,"",""
ball,1,11.4,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,4,0,"",""
ball,1,11.5,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,0,1,"",""
ball,1,11.6,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,1,0,"",""
ball,1,11.7,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,4,0,"",""
ball,1,12.1,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,0,0,"",""
ball,1,12.2,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,1,0,"",""
ball,1,12.3,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,0,1,"",""
ball,1,12.4,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,6,0,"",""
ball,1,12.5,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,0,0,"",""
ball,1,12.6,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,1,0,"",""
ball,1,12.7,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,1,0,"",""
ball,1,13.1,Kings XI Punjab,KL Rahul,MA Agarwal,JC Archer,1,0,"",""
ball,1,13.2,Kings XI Punjab,MA Agarwal,KL Rahul,JC Archer,3,0,"",""
ball,1,13.3,Kings XI Punjab,KL Rahul,MA Agarwal,JC Archer,0,0,"",""
ball,1,13.4,Kings XI Punjab,KL Rahul,MA Agarwal,JC Archer,4,0,"",""
ball,1,13.5,Kings XI Punjab,KL Rahul,MA Agarwal,JC Archer,1,0,"",""
