symbol,date,open,high,low,close,volume
AAPL,2020-07-01,91.279999,91.839996,90.977501,91.027496,110737200
AAPL,2020-07-02,91.962502,92.6175,90.910004,91.027496,114041600
AAPL,2020-07-06,92.5,93.945,92.467499,93.462502,118655600
AAPL,2020-07-07,93.852501,94.654999,93.057503,93.172501,112424400
AAPL,2020-07-08,94.18,95.375,94.089996,95.342499,117092000
AAPL,2020-07-09,96.262497,96.317497,94.672501,95.752502,125642800
AAPL,2020-07-10,95.334999,95.980003,94.705002,95.919998,90257200
AAPL,2020-07-13,97.264999,99.955002,95.2575,95.477501,191649200
AAPL,2020-07-14,94.839996,97.254997,93.877502,97.057503,170989200
AAPL,2020-07-15,98.989998,99.247498,96.489998,97.724998,153198000
AAPL,2020-07-16,96.5625,97.404999,95.904999,96.522499,110577600
AAPL,2020-07-17,96.987503,97.147499,95.839996,96.327499,92186800
AAPL,2020-07-20,96.417503,98.5,96.0625,98.357498,90318000
AAPL,2020-07-21,99.172501,99.25,96.7425,97,103646000
AAPL,2020-07-22,96.692497,97.974998,96.602501,97.272499,89001600
AAPL,2020-07-23,96.997498,97.077499,92.010002,92.845001,197004400
AAPL,2020-07-24,90.987503,92.970001,89.144997,92.614998,185438800
AAPL,2020-07-27,93.709999,94.904999,93.480003,94.809998,121214000
AAPL,2020-07-28,94.3675,94.550003,93.247498,93.252502,103625600
AAPL,2020-07-29,93.75,95.230003,93.712502,95.040001,90329200
AAPL,2020-07-30,94.1875,96.297501,93.767502,96.190002,158130000
AAPL,2020-07-31,102.885002,106.415001,100.824997,106.260002,374336800
AAPL,2020-08-03,108.199997,111.637497,107.892502,108.9375,308151200
AAPL,2020-08-04,109.1325,110.790001,108.387497,109.665001,173071600
AAPL,2020-08-05,109.377502,110.392502,108.897499,110.0625,121992000
AAPL,2020-08-06,110.404999,114.412498,109.797501,113.902496,202428800
AAPL,2020-08-07,113.205002,113.675003,110.292503,111.112503,198045600
AAPL,2020-08-10,112.599998,113.775002,110,112.727501,212403600
AAPL,2020-08-11,111.970001,112.482498,109.107498,109.375,187902400
AAPL,2020-08-12,110.497498,113.275002,110.297501,113.010002,165944800
AAPL,2020-08-13,114.43,116.042503,113.927498,115.010002,210082000
AAPL,2020-08-14,114.830002,115,113.044998,114.907501,165565200
AAPL,2020-08-17,116.0625,116.087502,113.962502,114.607498,119561600
AAPL,2020-08-18,114.352501,116,114.0075,115.5625,105633600
AAPL,2020-08-19,115.982498,117.162498,115.610001,115.707497,145538000
AAPL,2020-08-20,115.75,118.392502,115.732498,118.275002,126907200
AAPL,2020-08-21,119.262497,124.8675,119.25,124.370003,338054800
AAPL,2020-08-24,128.697495,128.785004,123.9375,125.857498,345937600
AAPL,2020-08-25,124.697502,125.18,123.052498,124.824997,211495600
AAPL,2020-08-26,126.18,126.9925,125.082497,126.522499,163022400
AAPL,2020-08-27,127.142502,127.485001,123.832497,125.010002,155552400
AAPL,2020-08-28,126.012497,126.442497,124.577499,124.807503,187630000
TSLA,2020-07-01,216.600006,227.065994,216.100006,223.925995,66634500
TSLA,2020-07-02,244.296005,245.600006,237.119995,241.731995,86250500
TSLA,2020-07-06,255.337997,275.558014,253.207993,274.31601,102849500
TSLA,2020-07-07,281.002014,285.899994,267.34201,277.971985,107448500
TSLA,2020-07-08,281,283.451996,262.268005,273.175995,81556500
TSLA,2020-07-09,279.39801,281.712006,270.256012,278.855988,58588000
TSLA,2020-07-10,279.200012,309.783997,275.201996,308.929993,116688000
TSLA,2020-07-13,331.799988,358.997986,294.221985,299.411987,194927000
TSLA,2020-07-14,311.200012,318,286.200012,303.359985,117090500
TSLA,2020-07-15,308.600006,310,291.399994,309.201996,81839000
TSLA,2020-07-16,295.432007,306.34201,293.200012,300.127991,71504000
TSLA,2020-07-17,302.690002,307.502014,298,300.167999,46650000
TSLA,2020-07-20,303.802002,330,297.600006,328.600006,85607000
TSLA,2020-07-21,327.985992,335,311.600006,313.671997,80786500
TSLA,2020-07-22,319.799988,325.283997,312.399994,318.466003,70805500
TSLA,2020-07-23,335.790009,337.799988,296.153992,302.614014,121642500
TSLA,2020-07-24,283.201996,293,273.308014,283.399994,96983000
TSLA,2020-07-27,287,309.588013,282.600006,307.920013,80243500
TSLA,2020-07-28,300.799988,312.940002,294.884003,295.298004,79043500
TSLA,2020-07-29,300.200012,306.962006,297.399994,299.821991,47134500
TSLA,2020-07-30,297.600006,302.64801,294.200012,297.497986,38105000
TSLA,2020-07-31,303,303.410004,284.196014,286.152008,61235000
TSLA,2020-08-03,289.839996,301.962006,288.876007,297,44046500
TSLA,2020-08-04,299.002014,305.481995,292.399994,297.399994,42075000
TSLA,2020-08-05,298.597992,299.967987,293.661987,297.003998,24890000
TSLA,2020-08-06,298.165985,303.462006,295.451996,297.915985,29961500
TSLA,2020-08-07,299.90799,299.950012,283.002014,290.541992,44482000
TSLA,2020-08-10,289.600006,291.5,277.167999,283.713989,37611500
TSLA,2020-08-11,279.200012,284,273,274.877991,43129000
TSLA,2020-08-12,294,317,287,310.951996,109494000
TSLA,2020-08-13,322.200012,330.235992,313.451996,324.200012,102126500
TSLA,2020-08-14,332.997986,333.76001,325.328003,330.141998,62888000
TSLA,2020-08-17,335.399994,369.171997,334.56601,367.127991,101211500
TSLA,2020-08-18,379.798004,384.779999,369.022003,377.417999,82372500
TSLA,2020-08-19,373,382.200012,368.242004,375.705994,61026500
TSLA,2020-08-20,372.135986,404.39801,371.411987,400.365997,103059000
TSLA,2020-08-21,408.951996,419.097992,405.01001,409.996002,107448000
TSLA,2020-08-24,425.256012,425.799988,385.503998,402.839996,100318000
TSLA,2020-08-25,394.977997,405.589996,393.600006,404.667999,53294500
TSLA,2020-08-26,412,433.200012,410.726013,430.634003,71197000
TSLA,2020-08-27,436.09201,459.119995,428.5,447.75,118465000
TSLA,2020-08-28,459.023987,463.697998,437.303986,442.679993,100406000
